ファイル名,配置先フォルダ
ai_controller.py,tools/dev_control/ai_controller.py
tool_initializer.py,tools/dev_control/tool_initializer.py
ui_link_updater.py,tools/dev_control/ui_link_updater.py
development_guidelines.md,docs/development_guidelines.md
base_template.html,central/templates/base_template.html
base_template.css,central/static/css/base_template.css
parts/index.html,central/templates/parts/index.html
sample_bar_chart.html,central/templates/parts/sample_bar_chart.html
sample_button_hover.html,central/templates/parts/sample_button_hover.html
sample_google_calendar.html,central/templates/parts/sample_google_calendar.html
sample_scroll_top.html,central/templates/parts/sample_scroll_top.html
sample_table_filter.html,central/templates/parts/sample_table_filter.html
sample_toggle_accordion.html,central/templates/parts/sample_toggle_accordion.html
base.html,central/templates/base.html
README.md,README.md
init_all.py,scripts/init_all.py
config_loader.py,central/config/config_loader.py
dynamic_config_manager.py,central/config/dynamic_config_manager.py
shipping_rules.yaml,central/config/shipping_rules.yaml
shopify_template.html,central/templates/shopify_template.html
shopify_register.py,tools/shopify/shopify_register.py
shopify_handler.py,tools/shopify/shopify_handler.py
ebay_sync.py,tools/ebay/ebay_sync.py
price_calculator.py,tools/common/price_calculator.py
ng_checker.py,tools/common/ng_checker.py
gpt_filter.py,tools/common/gpt_filter.py
main.py,central/main.py
requirements.txt,requirements.txt
