Action,Category,Title,Description,Quantity,BuyItNowPrice,ConditionID,Location,PaymentProfile,ReturnProfile,ShippingProfile,PictureURL,UPC,Brand,ConditionDescription,SiteID,PostalCode,Currency,Format,Duration,Country,SourceURL,OriginalPriceJPY,ConversionRate,ProcessedAt
Add,293,CANON Lens Hood EW-78F Wide Angle Camera Lens Accessory #c1,"Original Japanese auction item imported from Yahoo Auctions.

Condition: Used
Category: 

Shipped from Japan with tracking.",1,13.65,3000,Japan,Standard Payment,30 Days Return,Standard Shipping,,,Canon,Used,0,100-0001,USD,FixedPriceItem,GTC,JP,,1566.74,0.0067,2025-09-12 14:32:27
Add,293,CANON Lens Hood EW-78F Wide Angle Camera Lens Accessory #c1,"Original Japanese auction item imported from Yahoo Auctions.

Condition: Used
Category: 

Shipped from Japan with tracking.",1,12.26,3000,Japan,Standard Payment,30 Days Return,Standard Shipping,,,Canon,Used,0,100-0001,USD,FixedPriceItem,GTC,JP,,1408.10,0.0067,2025-09-12 14:32:27
Add,293,The Legend of Zelda Breath of the Wild Link on Horse Statue Brown Large 653277,"Original Japanese auction item imported from Yahoo Auctions.

Condition: Used
Category: 

Shipped from Japan with tracking.",1,9.26,3000,Japan,Standard Payment,30 Days Return,Standard Shipping,,,,Used,0,100-0001,USD,FixedPriceItem,GTC,JP,,1063.63,0.0067,2025-09-12 14:32:27
Add,293,AeroArt St. Petersburg Collection #3793 Roman Legion Camel Corps RARE,"Original Japanese auction item imported from Yahoo Auctions.

Condition: Used
Category: 1970-Now

Shipped from Japan with tracking.",1,9.15,3000,Japan,Standard Payment,30 Days Return,Standard Shipping,,,,Used,0,100-0001,USD,FixedPriceItem,GTC,JP,,1050.00,0.0067,2025-09-12 14:32:27
Add,293,CANON Lens Hood EW-78F Wide Angle Camera Lens Accessory #c1,"Original Japanese auction item imported from Yahoo Auctions.

Condition: Used
Category: 

Shipped from Japan with tracking.",1,8.99,3000,Japan,Standard Payment,30 Days Return,Standard Shipping,,,Canon,Used,0,100-0001,USD,FixedPriceItem,GTC,JP,,1032.48,0.0067,2025-09-12 14:32:27
Add,293,"2022 DRAGON BALL SUPER #DB3-116 SON GOKU, UNWAVERING CONVICTION CGC 10 PERFECT","Original Japanese auction item imported from Yahoo Auctions.

Condition: Used
Category: Trading Card Singles

Shipped from Japan with tracking.",1,8.71,3000,Japan,Standard Payment,30 Days Return,Standard Shipping,,,,Used,0,100-0001,USD,FixedPriceItem,GTC,JP,,1000.00,0.0067,2025-09-12 14:32:27
Add,293,"Rawlings | Heart of The Hide Baseball Glove | Right-handed Thrower | 11.5"" - Pro","Original Japanese auction item imported from Yahoo Auctions.

Condition: Used
Category: 

Shipped from Japan with tracking.",1,8.66,3000,Japan,Standard Payment,30 Days Return,Standard Shipping,,,,Used,0,100-0001,USD,FixedPriceItem,GTC,JP,,994.13,0.0067,2025-09-12 14:32:27
Add,293,Callaway Golf Great Big Bertha Individual Irons 4 Right-Handed Stiff Flex Irons,"Original Japanese auction item imported from Yahoo Auctions.

Condition: Used
Category: 

Shipped from Japan with tracking.",1,7.42,3000,Japan,Standard Payment,30 Days Return,Standard Shipping,,,,Used,0,100-0001,USD,FixedPriceItem,GTC,JP,,851.61,0.0067,2025-09-12 14:32:27
Add,293,MATTEL 1/18 Aston Martin DB10 007 James Bond Finished Product,"Original Japanese auction item imported from Yahoo Auctions.

Condition: Used
Category: 

Shipped from Japan with tracking.",1,6.75,3000,Japan,Standard Payment,30 Days Return,Standard Shipping,,,,Used,0,100-0001,USD,FixedPriceItem,GTC,JP,,775.54,0.0067,2025-09-12 14:32:27
Add,293,Snow Peak Limited Low Chair Short Dark for Spring 2024 Festival,"Original Japanese auction item imported from Yahoo Auctions.

Condition: Used
Category: 

Shipped from Japan with tracking.",1,6.70,3000,Japan,Standard Payment,30 Days Return,Standard Shipping,,,,Used,0,100-0001,USD,FixedPriceItem,GTC,JP,,769.35,0.0067,2025-09-12 14:32:27
Add,293,Callaway Golf Great Big Bertha Individual Irons 4 Right-Handed Stiff Flex Irons,"Original Japanese auction item imported from Yahoo Auctions.

Condition: Used
Category: 

Shipped from Japan with tracking.",1,6.67,3000,Japan,Standard Payment,30 Days Return,Standard Shipping,,,,Used,0,100-0001,USD,FixedPriceItem,GTC,JP,,765.38,0.0067,2025-09-12 14:32:27
