carrier_name,service_type,service_name,zone_name,countries,weight_min_kg,weight_max_kg,cost_usd,delivery_days_min,delivery_days_max,effective_date,is_active
Eloji (FedEx),economy,FedEx International Economy,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",0.000,0.500,38.67,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",0.501,1.000,44.00,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",1.001,1.500,51.33,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",1.501,2.000,58.67,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",2.001,2.500,66.67,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",2.501,3.000,72.00,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",3.001,4.000,84.67,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",4.001,5.000,101.33,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",5.001,7.500,135.33,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",7.501,10.000,160.00,5,10,2025-09-05,true
Eloji (FedEx),economy,FedEx International Economy,Asia Pacific,"AU;NZ;SG;MY;TH;PH;IN;ID",10.001,15.000,236.67,5,10,2025-09-05,true
