carrier_code,service_type,zone_name,country_codes,weight_min_kg,weight_max_kg,cost_usd,delivery_days_min,delivery_days_max,fuel_surcharge_percent,handling_fee,notes
ELOJI_FEDEX,economy,USA/Canada,"US,CA",0.000,0.500,29.00,5,8,5.0,2.50,"FedEx International Economy - North America"
ELOJI_FEDEX,economy,USA/Canada,"US,CA",0.501,1.000,29.00,5,8,5.0,2.50,"FedEx International Economy - North America"
ELOJI_FEDEX,economy,USA/Canada,"US,CA",1.001,2.000,37.00,5,8,5.0,2.50,"FedEx International Economy - North America"
ELOJI_FEDEX,economy,USA/Canada,"US,CA",2.001,5.000,65.00,5,8,5.0,2.50,"FedEx International Economy - North America"
ELOJI_FEDEX,economy,USA/Canada,"US,CA",5.001,10.000,95.00,5,8,5.0,2.50,"FedEx International Economy - North America"
ELOJI_FEDEX,economy,USA/Canada,"US,CA",10.001,20.000,165.00,5,8,5.0,2.50,"FedEx International Economy - North America"
ELOJI_FEDEX,economy,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH",0.000,0.500,42.00,6,10,5.0,2.50,"FedEx International Economy - Europe"
ELOJI_FEDEX,economy,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH",0.501,1.000,42.00,6,10,5.0,2.50,"FedEx International Economy - Europe"
ELOJI_FEDEX,economy,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH",1.001,2.000,48.00,6,10,5.0,2.50,"FedEx International Economy - Europe"
ELOJI_FEDEX,economy,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH",2.001,5.000,75.00,6,10,5.0,2.50,"FedEx International Economy - Europe"
ELOJI_FEDEX,economy,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH",5.001,10.000,125.00,6,10,5.0,2.50,"FedEx International Economy - Europe"
ELOJI_FEDEX,economy,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH",10.001,20.000,215.00,6,10,5.0,2.50,"FedEx International Economy - Europe"
ELOJI_FEDEX,economy,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID,VN",0.000,0.500,36.00,4,7,5.0,2.50,"FedEx International Economy - Asia Pacific"
ELOJI_FEDEX,economy,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID,VN",0.501,1.000,36.00,4,7,5.0,2.50,"FedEx International Economy - Asia Pacific"
ELOJI_FEDEX,economy,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID,VN",1.001,2.000,42.00,4,7,5.0,2.50,"FedEx International Economy - Asia Pacific"
ELOJI_FEDEX,economy,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID,VN",2.001,5.000,68.00,4,7,5.0,2.50,"FedEx International Economy - Asia Pacific"
ELOJI_FEDEX,economy,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID,VN",5.001,10.000,115.00,4,7,5.0,2.50,"FedEx International Economy - Asia Pacific"
ELOJI_FEDEX,economy,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID,VN",10.001,20.000,195.00,4,7,5.0,2.50,"FedEx International Economy - Asia Pacific"
ELOJI_FEDEX,economy,East Asia,"KR,TW,HK,CN,JP,MO",0.000,0.500,34.00,3,6,5.0,2.50,"FedEx International Economy - East Asia"
ELOJI_FEDEX,economy,East Asia,"KR,TW,HK,CN,JP,MO",0.501,1.000,34.00,3,6,5.0,2.50,"FedEx International Economy - East Asia"
ELOJI_FEDEX,economy,East Asia,"KR,TW,HK,CN,JP,MO",1.001,2.000,39.00,3,6,5.0,2.50,"FedEx International Economy - East Asia"
ELOJI_FEDEX,economy,East Asia,"KR,TW,HK,CN,JP,MO",2.001,5.000,62.00,3,6,5.0,2.50,"FedEx International Economy - East Asia"
ELOJI_FEDEX,economy,East Asia,"KR,TW,HK,CN,JP,MO",5.001,10.000,105.00,3,6,5.0,2.50,"FedEx International Economy - East Asia"
ELOJI_FEDEX,economy,East Asia,"KR,TW,HK,CN,JP,MO",10.001,20.000,185.00,3,6,5.0,2.50,"FedEx International Economy - East Asia"
ELOJI_FEDEX,express,USA/Canada,"US,CA",0.000,0.500,42.00,1,3,5.0,3.50,"FedEx International Priority - North America"
ELOJI_FEDEX,express,USA/Canada,"US,CA",0.501,1.000,42.00,1,3,5.0,3.50,"FedEx International Priority - North America"
ELOJI_FEDEX,express,USA/Canada,"US,CA",1.001,2.000,52.00,1,3,5.0,3.50,"FedEx International Priority - North America"
ELOJI_FEDEX,express,USA/Canada,"US,CA",2.001,5.000,85.00,1,3,5.0,3.50,"FedEx International Priority - North America"
ELOJI_FEDEX,express,USA/Canada,"US,CA",5.001,10.000,145.00,1,3,5.0,3.50,"FedEx International Priority - North America"
ELOJI_FEDEX,express,USA/Canada,"US,CA",10.001,20.000,255.00,1,3,5.0,3.50,"FedEx International Priority - North America"
ELOJI_FEDEX,express,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH",0.000,0.500,58.00,2,4,5.0,3.50,"FedEx International Priority - Europe"
ELOJI_FEDEX,express,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH",0.501,1.000,58.00,2,4,5.0,3.50,"FedEx International Priority - Europe"
ELOJI_FEDEX,express,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH",1.001,2.000,68.00,2,4,5.0,3.50,"FedEx International Priority - Europe"
ELOJI_FEDEX,express,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH",2.001,5.000,105.00,2,4,5.0,3.50,"FedEx International Priority - Europe"
ELOJI_FEDEX,express,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH",5.001,10.000,185.00,2,4,5.0,3.50,"FedEx International Priority - Europe"
ELOJI_FEDEX,express,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH",10.001,20.000,325.00,2,4,5.0,3.50,"FedEx International Priority - Europe"
ELOJI_FEDEX,express,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID,VN",0.000,0.500,50.00,2,4,5.0,3.50,"FedEx International Priority - Asia Pacific"
ELOJI_FEDEX,express,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID,VN",0.501,1.000,50.00,2,4,5.0,3.50,"FedEx International Priority - Asia Pacific"
ELOJI_FEDEX,express,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID,VN",1.001,2.000,58.00,2,4,5.0,3.50,"FedEx International Priority - Asia Pacific"
ELOJI_FEDEX,express,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID,VN",2.001,5.000,92.00,2,4,5.0,3.50,"FedEx International Priority - Asia Pacific"
ELOJI_FEDEX,express,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID,VN",5.001,10.000,165.00,2,4,5.0,3.50,"FedEx International Priority - Asia Pacific"
ELOJI_FEDEX,express,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID,VN",10.001,20.000,295.00,2,4,5.0,3.50,"FedEx International Priority - Asia Pacific"
ELOJI_FEDEX,express,East Asia,"KR,TW,HK,CN,JP,MO",0.000,0.500,45.00,1,3,5.0,3.50,"FedEx International Priority - East Asia"
ELOJI_FEDEX,express,East Asia,"KR,TW,HK,CN,JP,MO",0.501,1.000,45.00,1,3,5.0,3.50,"FedEx International Priority - East Asia"
ELOJI_FEDEX,express,East Asia,"KR,TW,HK,CN,JP,MO",1.001,2.000,52.00,1,3,5.0,3.50,"FedEx International Priority - East Asia"
ELOJI_FEDEX,express,East Asia,"KR,TW,HK,CN,JP,MO",2.001,5.000,82.00,1,3,5.0,3.50,"FedEx International Priority - East Asia"
ELOJI_FEDEX,express,East Asia,"KR,TW,HK,CN,JP,MO",5.001,10.000,145.00,1,3,5.0,3.50,"FedEx International Priority - East Asia"
ELOJI_FEDEX,express,East Asia,"KR,TW,HK,CN,JP,MO",10.001,20.000,265.00,1,3,5.0,3.50,"FedEx International Priority - East Asia"
