keyword,category,severity,reason
Nintendo,copyright,critical,著作権・商標権侵害リスク
Sony,copyright,critical,著作権・商標権侵害リスク
Apple,copyright,critical,著作権・商標権侵害リスク
Disney,copyright,critical,著作権・商標権侵害リスク
Pokemon,copyright,critical,ポケモン関連商標侵害
ポケモン,copyright,critical,ポケモン関連商標侵害
任天堂,copyright,critical,任天堂商標侵害
replica,prohibited,critical,レプリカ商品は禁止
レプリカ,prohibited,critical,レプリカ商品は禁止
fake,prohibited,critical,偽造品は禁止
偽物,prohibited,critical,偽造品は禁止
copy,prohibited,critical,コピー商品は禁止
コピー,prohibited,critical,コピー商品は禁止
medicine,restricted,high,医薬品は制限あり
薬,restricted,high,医薬品は制限あり
supplement,restricted,medium,サプリメントは制限あり
サプリメント,restricted,medium,サプリメントは制限あり
cosmetic,restricted,medium,化粧品は制限あり
化粧品,restricted,medium,化粧品は制限あり
battery,dangerous,high,バッテリーは配送制限あり
バッテリー,dangerous,high,バッテリーは配送制限あり
liquid,dangerous,medium,液体は配送制限あり
液体,dangerous,medium,液体は配送制限あり
adult,adult,critical,アダルト商品は禁止
アダルト,adult,critical,アダルト商品は禁止
18+,adult,critical,成人向け商品は禁止
military,restricted,high,軍事関連は制限あり
weapon,prohibited,critical,武器類は禁止
武器,prohibited,critical,武器類は禁止
knife,restricted,high,ナイフ類は制限あり
ナイフ,restricted,high,ナイフ類は制限あり
tobacco,prohibited,critical,タバコ製品は禁止
タバコ,prohibited,critical,タバコ製品は禁止
alcohol,restricted,high,アルコール類は制限あり
アルコール,restricted,high,アルコール類は制限あり
prescription,prohibited,critical,処方薬は禁止
処方薬,prohibited,critical,処方薬は禁止
counterfeit,prohibited,critical,偽造品は禁止
偽造,prohibited,critical,偽造品は禁止
stolen,prohibited,critical,盗品は禁止
盗品,prohibited,critical,盗品は禁止
explosive,dangerous,critical,爆発物は禁止
爆発物,dangerous,critical,爆発物は禁止
hazardous,dangerous,high,危険物は制限あり
危険物,dangerous,high,危険物は制限あり
