carrier_code,service_type,zone_name,country_codes,weight_min_kg,weight_max_kg,cost_usd,delivery_days_min,delivery_days_max,fuel_surcharge_percent,handling_fee,notes
ELOJI_FEDEX,express,North America,"US,CA",0.000,0.5,18.00,1,3,5.0,3.50,"FedEx International Priority - North America"
ELOJI_FEDEX,express,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH,SE,NO,DK,FI",0.000,0.5,23.33,1,3,5.0,3.50,"FedEx International Priority - Europe"
ELOJI_FEDEX,express,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID",0.000,0.5,38.00,2,5,5.0,3.50,"FedEx International Priority - Asia Pacific"
ELOJI_FEDEX,express,East Asia,"KR,TW,HK,CN,JP,MO",0.000,0.5,16.00,2,5,5.0,3.50,"FedEx International Priority - East Asia"
ELOJI_FEDEX,express,Latin America,"MX,BR,AR,CL,CO,PE,VE",0.000,0.5,34.67,3,7,5.0,3.50,"FedEx International Priority - Latin America"
ELOJI_FEDEX,express,Middle East/Africa,"AE,SA,ZA,EG,IL,JO",0.000,0.5,32.00,3,7,5.0,3.50,"FedEx International Priority - Middle East/Africa"
ELOJI_FEDEX,express,North America,"US,CA",0.501,1.0,19.33,1,3,5.0,3.50,"FedEx International Priority - North America"
ELOJI_FEDEX,express,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH,SE,NO,DK,FI",0.501,1.0,21.33,1,3,5.0,3.50,"FedEx International Priority - Europe"
ELOJI_FEDEX,express,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID",0.501,1.0,44.00,2,5,5.0,3.50,"FedEx International Priority - Asia Pacific"
ELOJI_FEDEX,express,East Asia,"KR,TW,HK,CN,JP,MO",0.501,1.0,22.00,2,5,5.0,3.50,"FedEx International Priority - East Asia"
ELOJI_FEDEX,express,Latin America,"MX,BR,AR,CL,CO,PE,VE",0.501,1.0,41.33,3,7,5.0,3.50,"FedEx International Priority - Latin America"
ELOJI_FEDEX,express,Middle East/Africa,"AE,SA,ZA,EG,IL,JO",0.501,1.0,34.00,3,7,5.0,3.50,"FedEx International Priority - Middle East/Africa"
ELOJI_FEDEX,express,North America,"US,CA",1.001,1.5,22.00,1,3,5.0,3.50,"FedEx International Priority - North America"
ELOJI_FEDEX,express,Europe,"GB,DE,FR,IT,ES,NL,BE,AT,CH,SE,NO,DK,FI",1.001,1.5,28.00,1,3,5.0,3.50,"FedEx International Priority - Europe"
ELOJI_FEDEX,express,Asia Pacific,"AU,NZ,SG,MY,TH,PH,IN,ID",1.001,1.5,52.00,2,5,5.0,3.50,"FedEx International Priority - Asia Pacific"
ELOJI_FEDEX,express,East Asia,"KR,TW,HK,CN,JP,MO",1.001,1.5,25.33,2,5,5.0,3.50,"FedEx International Priority - East Asia"
ELOJI_FEDEX,express,Latin America,"MX,BR,AR,CL,CO,PE,VE",1.001,1.5,51.33,3,7,5.0,3.50,"FedEx International Priority - Latin America"
ELOJI_FEDEX,express,Middle East/Africa,"AE,SA,ZA,EG,IL,JO",1.001,1.5,43.33,3,7,5.0,3.50,"FedEx International Priority - Middle East/Africa"
ELOJI_FEDEX,express,North America,"US,CA",1.501,2.0,24.67,1,3,5.0,3.50,"FedEx International Priority - North America"
