CategoryID,Category Path,FVF
1,Books & Magazines > Fiction Books,15.30%
2,Books & Magazines > Non-Fiction,15.30%
3,Movies & TV > DVDs & Blu-ray Discs,15.30%
4,Movies & TV > VHS Tapes,15.30%
5,Music > CDs,15.30%
6,Music > Vinyl Records,15.30%
7,Clothing Shoes & Accessories > Women > Tops,13.60%
8,Clothing Shoes & Accessories > Men > Shirts,13.60%
9,Clothing Shoes & Accessories > Women > Shoes,13.60%
10,Jewelry & Watches > Fine Jewelry > Rings,15.00%
11,Jewelry & Watches > Watches > Wristwatches,15.00%
12,Electronics > Cell Phones & Accessories,13.60%
13,Electronics > Computers & Tablets,13.60%
14,Coins & Paper Money > Coins > World,13.25%
15,Coins & Paper Money > Paper Money,13.25%
16,Musical Instruments & Gear > Guitars & Basses,6.70%
17,Musical Instruments & Gear > Pro Audio Equipment,6.70%
18,Business & Industrial > Heavy Equipment,3.00%
19,Business & Industrial > Restaurant & Food Service,3.00%
20,Home & Garden > Kitchen Dining & Bar,13.60%
21,Toys & Hobbies > Action Figures,13.60%
22,Collectibles > Trading Cards,13.25%
23,Sports Mem Cards & Fan Shop > Sports Trading Cards,13.25%
24,Art > Paintings,13.60%
25,Antiques > Furniture,13.60%
